Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
U.A.E.,156.0,15198661.0,,
Malta,131.0,659488.0,71.0,63.0
Bahrain,129.0,2116497.0,64.0,60.0
Aruba,119.0,126387.0,64.0,55.0
Israel,119.0,10749083.0,62.0,57.0
Chile,119.0,22501356.0,66.0,55.0
U.K.,116.0,77303533.0,67.0,49.0
Mongolia,115.0,3720002.0,61.0,54.0
Uruguay,112.0,3882882.0,65.0,47.0
Qatar,110.0,3109044.0,60.0,50.0
Iceland,108.0,390877.0,72.0,50.0
Curaçao,106.0,167151.0,56.0,50.0
Hungary,101.0,9839749.0,56.0,50.0
United States,98.0,325152847.0,54.0,46.0
Canada,98.0,36775433.0,68.0,30.0
Maldives,95.0,506233.0,60.0,36.0
Singapore,94.0,5365803.0,57.0,37.0
Belgium,93.0,10666126.0,61.0,34.0
Netherlands,90.0,15512950.0,58.0,35.0
Germany,89.0,73754612.0,55.0,37.0
Mainland China,88.0,1225734000.0,45.0,16.0
Luxembourg,86.0,534876.0,54.0,32.0
Spain,86.0,40565038.0,53.0,36.0
Austria,86.0,7631324.0,53.0,34.0
Italy,85.0,51007304.0,56.0,31.0
Switzerland,84.0,7236625.0,50.0,34.0
Portugal,83.0,8480339.0,54.0,33.0
Lithuania,81.0,2261823.0,44.0,37.0
France,79.0,53083231.0,50.0,30.0
Greece,77.0,8299173.0,45.0,35.0
Finland,76.0,4213157.0,58.0,18.0
Czech Republic,76.0,8119241.0,47.0,30.0
Poland,76.0,28888753.0,44.0,34.0
Norway,76.0,4039445.0,47.0,29.0
Sweden,75.0,7731190.0,46.0,29.0
Ireland,74.0,3679531.0,48.0,20.0
Serbia,74.0,5146241.0,39.0,35.0
Kuwait,74.0,3100000.0,68.0,
Estonia,71.0,947158.0,42.0,29.0
Dominican Rep.,71.0,7653536.0,45.0,26.0
Slovenia,71.0,1478156.0,39.0,32.0
Slovakia,66.0,3590631.0,37.0,29.0
Cyprus,65.0,777935.0,38.0,27.0
Bhutan,64.0,484751.0,64.0,
Croatia,63.0,2545040.0,36.0,26.0
Turkey,59.0,49401445.0,41.0,18.0
Latvia,59.0,1128796.0,34.0,28.0
Barbados,58.0,165339.0,33.0,24.0
Mauritius,56.0,706948.0,38.0,17.0
Denmark,,,56.0,32.0
Macau,53.0,335125.0,37.0,16.0
Morocco,52.0,18862912.0,27.0,25.0
Saudi Arabia,52.0,17671943.0,,
Cuba,50.0,5676321.0,24.0,9.0
Hong Kong,49.0,3668877.0,30.0,20.0
Costa Rica,48.0,2440385.0,32.0,16.0
French Polynesia,47.0,132540.0,26.0,22.0
Brazil,47.0,98827485.0,34.0,12.0
Montenegro,46.0,287653.0,24.0,22.0
Romania,46.0,8916725.0,24.0,23.0
Argentina,45.0,20221697.0,36.0,8.9
Cambodia,43.0,7093483.0,25.0,18.0
Guyana,43.0,335091.0,29.0,13.0
El Salvador,41.0,2674605.0,25.0,17.0
New Caledonia,39.0,111259.0,21.0,18.0
South Korea,37.0,19099022.0,30.0,9.5
Fiji,36.0,322299.0,31.0,5.0
Panama,36.0,1534248.0,24.0,12.0
Jordan,36.0,3617998.0,23.0,12.0
Colombia,35.0,17570929.0,22.0,13.0
Mexico,35.0,44385584.0,24.0,15.0
Japan,34.0,43504931.0,23.0,12.0
Azerbaijan,34.0,3422241.0,22.0,12.0
Suriname,33.0,192975.0,27.0,6.0
Albania,33.0,943439.0,19.0,14.0
Australia,30.0,7500700.0,24.0,5.8
Saint Lucia,29.0,52596.0,17.0,12.0
Tonga,29.0,29980.0,27.0,1.3
